,response,distributions,probable_topic,topic_probability
69,"['TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'maths', 'teacher', 'canvas', 'conference', 'synchronous', 'learning', 'screenshare', 'onenote', 'explain', 'maths', 'problem', 'create', 'discussion', 'post', 'student', 'sometimes', 'intercede', 'screen', 'video', 'explain', 'concept']","[(0, 0.3701163), (1, 0.08412506), (2, 0.24949963), (3, 0.25740933), (4, 0.03884965)]",,
70,"['university', 'offering', 'summer', 'intensive', 'nahuatl', 'language', 'program', 'online', 'synchronous', 'language', 'learning', 'canvas', 'application', '4/30/20', 'tuition', 'program', 'eligible']","[(0, 0.28607675), (1, 0.031697087), (2, 0.40952966), (3, 0.1032791), (4, 0.16941734)]",,
71,"['calling', 'educator', 'higher', 'move', 'content', 'quickly', 'virtual', 'classroom', 'whether', 'asynchronous', 'canvas', 'and/or', 'synchronous', 'learning', 'allow', 'resource', 'here~']","[(0, 0.35489643), (1, 0.028664073), (2, 0.36988932), (3, 0.18909436), (4, 0.05745579)]",,
72,"['english', 'planning', 'university', 'teaching', 'TWITTER_HANDLE', 'online', 'format', 'include', 'synchronous', 'style', 'alongside', 'canvas', 'base', 'asynchronous']","[(0, 0.16247846), (1, 0.02866216), (2, 0.37078005), (3, 0.1891384), (4, 0.24894087)]",,
73,"['TWITTER_HANDLE', 'TWITTER_HANDLE', 'canvas', 'feature', 'call', 'conferencing', 'build', 'allow', 'synchronous', 'teaching', 'store', 'session', 'university', 'announce', 'shitty', 'email', 'pulling', 'expensive']","[(0, 0.23577635), (1, 0.026162595), (2, 0.3380396), (3, 0.26010346), (4, 0.13991801)]",,
74,"['TWITTER_HANDLE', 'TWITTER_HANDLE', 'cornell', 'require', 'asynchronous', 'synchronous', 'recommend', 'latter', 'embed', 'within', 'canvas', 'course', 'university', 'administrator', 'normal', 'accident']","[(0, 0.2585283), (1, 0.028665705), (2, 0.3703759), (3, 0.28496745), (4, 0.057462607)]",,
75,"['virtuallearning', 'fmsteachersrock', '\u2066@goguardian\u2069', 'edtech', '\u2066@canvaslms\u2069', 'synchronous', 'absolutely', 'amaze', 'teacher']","[(0, 0.36148325), (1, 0.040213034), (2, 0.3866783), (3, 0.13102657), (4, 0.08059885)]",,
76,"['assume', 'visible', 'every', 'canvas', 'university', 'look', 'class', 'going', 'synchronous']","[(0, 0.20096485), (1, 0.15386215), (2, 0.4586057), (3, 0.11551167), (4, 0.071055666)]",,
77,"['TWITTER_HANDLE', 'TWITTER_HANDLE', 'canvas', 'synchronous', 'lesson', 'otherwise', 'asynchronous', 'lesson', 'base', 'teacher', 'class', 'judgement', 'school', 'elearning', 'spring', 'break', 'middle']","[(0, 0.23608208), (1, 0.1135382), (2, 0.3379597), (3, 0.2599924), (4, 0.052427657)]",,
78,"['TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'elmagchat', 'finding', 'medium', 'canvas', 'post', 'respond', 'writing', 'asynchronous', 'discussion', 'meaningful', 'introvert', 'student']","[(0, 0.23608144), (1, 0.026157591), (2, 0.33795956), (3, 0.34737375), (4, 0.052427616)]",,
