,response,distributions,probable_topic,topic_probability
71,"['selfie', 'class', 'TWITTER_HANDLE', 'today', 'look', 'class', 'week', 'maybe', 'connection', 'could', 'zoomuniversity', 'pandemic', 'quarantinelife']","[(0, 0.23106024), (1, 0.029521707), (2, 0.015646493), (3, 0.28701863), (4, 0.23378564), (5, 0.025272781), (6, 0.17769448)]",,
72,"['following', 'yesterday', 'remark', 'clear', 'schoolers', 'teacher', 'coping', 'better', 'grade', 'teacher', 'today', 'class', 'independent', 'assign', 'zoom', 'independent']","[(0, 0.017891383), (1, 0.024578784), (2, 0.86759526), (3, 0.020780716), (4, 0.012997919), (5, 0.020977855), (6, 0.035178103)]",,
73,"['TWITTER_HANDLE', 'first', 'college', 'graduate', 'complete', 'undergraduate', 'research', 'thesis', 'TWITTER_HANDLE', 'gain', 'experience', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'excite', 'zoom)']","[(0, 0.015272766), (1, 0.02084671), (2, 0.011072371), (3, 0.017717699), (4, 0.3510474), (5, 0.017882364), (6, 0.56616074)]",,
74,"['quality', 'guest', 'speaker', 'essential', 'keeping', 'class', 'interest', 'zoomuniversity']","[(0, 0.5997738), (1, 0.077501245), (2, 0.04113877), (3, 0.06582785), (4, 0.041233934), (5, 0.06642124), (6, 0.10810314)]",,
75,"[""zoom'd"", 'college', 'lecture']","[(0, 0.12419321), (1, 0.16951215), (2, 0.09003684), (3, 0.14404638), (4, 0.09024512), (5, 0.14537038), (6, 0.23659588)]",,
76,"['taking', 'conference', 'right', 'physics', 'blurt', 'cheat', 'professor', 'fucking', 'kid', 'zoommeeting']","[(0, 0.056759823), (1, 0.6205262), (2, 0.041138776), (3, 0.0658163), (4, 0.04123415), (5, 0.06642156), (6, 0.10810321)]",,
77,"['activity', 'screen', 'share', 'meeting', 'screen', 'sharing', 'active', 'click', 'option', 'screen', 'click', 'request', 'control', 'decline', 'accept', 'request', 'cloviscommunitycollege', 'zoomtips']","[(0, 0.59983283), (1, 0.077452205), (2, 0.04113877), (3, 0.06581639), (4, 0.041233987), (5, 0.066422075), (6, 0.10810376)]",,
78,"['TWITTER_HANDLE', 'think', 'particularly', 'turnout', 'yesterday', 'zoom', 'three', 'different', 'class', 'ready', 'throw', 'towel', 'today', 'awesome', 'spanish', 'honor', 'think', 'teacher', 'meeting']","[(0, 0.30531824), (1, 0.01822114), (2, 0.16781819), (3, 0.015472011), (5, 0.24534173), (6, 0.23814596)]",,
79,"['zoom', 'today', 'share', 'creation', 'breakout', 'style', 'differentiation', 'base', 'interest', 'TWITTER_HANDLE', 'extension', 'group', 'thanks', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'allow', 'teacher', 'quarantine', 'TWITTER_HANDLE']","[(0, 0.0152738355), (1, 0.02088664), (2, 0.011072403), (3, 0.017725656), (4, 0.011097998), (5, 0.017892277), (6, 0.90605116)]",,
80,"['psyop', 'break', 'zoomer', 'condition', 'cattle', 'millennial', 'taking', 'fully', 'swallow', 'belly', 'priest', 'class', 'teacher', 'manager', 'watch', 'screen', 'magical', 'ritual', 'front']","[(0, 0.05675488), (1, 0.61866003), (2, 0.041139044), (3, 0.06589019), (4, 0.04123401), (5, 0.066533774), (6, 0.10978812)]",,
